출원인,출원일,발명의 명칭,Original IPC All,요약,WIPS ON key
Wonderland Switzerland AG,2020-10-20,"FIREPROOF BUFFERING STRUCTURE, SUPPORTING CUSHION APPARATUS AND CHILD SAFETY CAR SEAT THEREWITH",C09K-021/14 | B60N-002/28 | B32B-005/18 | B32B-005/32 | B32B-005/24 | B32B-027/06 | B60N-002/64 | B60N-002/70,"A fireproof buffering structure includes a buffering plate and a fireproof plate attached thereto. A combustion rate of the fireproof plate is lower than that of the buffering plate. In contrast to conventional buffering structures, the fireproof buffering structure adopts the combined buffering plate and fireproof plate. The buffering plate has good impact absorbing capacity for providing a soft and comfortable seating environment and buffering and protection effects during a crash accident, and the fireproof plate can reduce the combustion rate of the integral structure when catching fire. Therefore, the fireproof buffering structure achieves the purposes of safety and comfort. The present application further discloses a supporting cushion apparatus which includes a covering member and the aforementioned fireproof buffering structure accommodated therein. The present application further discloses a child safety car seat which includes the aforementioned fireproof buffering structure and the supporting cushion apparatus.",5421016002221
"Hyundai Motor Company | Kia Motors Corporation | Das Co., Ltd.",2019-10-23,Walk-in apparatus for vehicular seat,A47C-001/00 | B60N-002/10 | B60N-002/04 | B60N-002/02,"A walk-in apparatus for a vehicular seat provides a space behind the vehicular seat even when a seat back is not folded forwards during a walk-in motion. Since the rear end of a seat cushion is raised when the walk-in motion is performed, a space for accommodating the rear seat passenger's feet is provided under the seat cushion, thereby improving the rear seat passenger's comfort.",4921016002177
Joseph Patrick Mooney,2018-12-18,Apparatus for providing a car seat with ventilation,B60N-002/56 | B60N-002/28 | B60N-002/26,"A seat adapter arranged to be secured to a rear surface of a car seat having one or more holes, the seat adapter including a plate, including a first surface arranged to be secured to the rear surface, a second surface, and one or more perforations operatively arranged to create one or more breakaway sections, a first section extending from the second surface, and a through-hole extending through the plate and the first section, the through-hole arranged to be at least partially aligned with one of the one or more holes.",4921016002184
Oshkosh Corporation,2019-05-14,In-seat sound suppression,G10K-011/178 | B60N-002/879 | B60N-002/803,"A vehicle includes a passenger capsule, a seat, and a sound suppression system. The passenger capsule includes a headliner. The seat is positioned within the passenger capsule. The seat includes a headrest. The sound suppression system includes one or more speakers and a controller. The one or more speakers are at least one of (i) positioned within the headrest or (ii) positioned within the headliner. The controller is configured to control the one or more speakers to emit sound waves having at least one of a target frequency or a target amplitude to generate a noise suppression zone that projects outward from at least one of the headrest or the headliner toward a passenger sitting in the seat to suppress one or more low frequency sound waves perceived by the passenger.",4921016005573
"DONG-IN ENTECH Co.,Ltd.",2016-03-16,PORTABLE CAR SEAT,B60N-002/26 | B60N-002/28 | B60N-002/64 | B60N-002/68 | B60N-002/80 | B60R-022/10,"The present invention relates to a portable car seat comprising: a seat part on which a child sits; a backrest part rotatably coupled to the seat part; a rotation connection part for rotating the seatpart and the backrest part; and a rotation prevention part for restricting rotation, performed by the rotation connection part, through a stopper for preventing rotation.",8421162001776
"SHANGHAI GUOJIN AUTOMOBILE TECHNOLOGY Co.,Ltd.",2020-01-21,Sliding adjusting mechanism and seat armrest comprising same,B60N-002/75,"The invention discloses a sliding adjusting mechanism and a seat armrest comprising the same. The sliding adjusting mechanism comprises a shell and a sliding component. The shell is provided with an opening, the shell is internally provided with an accommodating cavity, and the opening is communicated with the accommodating cavity. The sliding component is arranged in the accommodating cavity in asliding manner. The shell is connected with a first component, and the sliding component is connected with a second component through the opening. The shell is connected with the first component, thesliding component is connected with the second component through the opening, and the sliding component can slide relative to the shell, so that the first component can slide relative to the second component, and the first component and the second component can be relatively overlapped and can also be relatively unfolded. The sliding adjusting mechanism is installed on the automobile seat armrest. When the arms do not need to be supported, the armrest can be slid until the length between the armrest and a supporting framework is the shortest, so that space can be saved, and other passengers can conveniently get in and out. When the arms need to be supported, the armrest is slid to the maximum length relative to the supporting framework, so that the riding comfort of passengers is improved.",8421162006469
"ZHEJIANG HONGLI ZHIXIN AUTO PARTS MANUFACTURING Co.,Ltd.",2020-09-18,Cushioning automobile seat,B60N-002/50 | B60N-002/75 | B60N-002/90,"The invention discloses a cushioning automobile seat. The seat comprises a supporting unit, a cushioning unit and a cushion, the cushioning unit is supported by the supporting unit 100, the cushion is placed on the cushioning unit, and a passenger sits on the cushion and then is damped through the cushioning unit. The elasticity of the elastic piece can be adjusted through the adjusting assembly, a passenger can adjust the device according to needs, and the device is more flexible to use. The automobile seat adopts a novel shock absorption structure, so that a more obvious shock absorption effect can be achieved, and the comfort of the automobile seat is improved.",8421162011342
"Yanfeng Automotive Trim Systems Co.,Ltd.",2021-01-20,"Seat armrest control method, device and system, seat, equipment and medium",B60N-002/75,"The invention discloses a seat armrest control method, device and system, a seat, equipment and a medium. The seat armrest is arranged in a vehicle and used for providing support for passengers; a movable supporting unit is further arranged in the vehicle. The control method comprises steps that the motion information of the supporting unit is acquired; the motion mode of the seat armrest is judged according to the motion information, wherein the motion mode of the seat armrest comprises an unfolding mode and a folding mode; when the seat armrest is in the unfolding mode, the seat armrest is unfolded to provide support for passengers; when the seat armrest is in a stowed mode, the seat armrest is stowed to an initial position. By the adoption of the automobile seat, when supporting is needed, the seat armrests can be unfolded to provide supporting for passengers, and when supporting is not needed, the seat armrests can be folded to avoid space occupation or interference with the supporting units; and moreover, when the seat armrests are unfolded, the passenger can be laterally protected, so safety of the passenger is improved.",8421162011344
KONGSBERG AUTOMOTIVE AB,2016-04-05,MASSAGE DEVICE FOR VEHICLE SEAT,B60N-002/90 | A61H-009/00,"According to one aspect of the disclosure, a massage device for a vehicle seat is provided. The message device includes a linear series of inflatable massage cells which are to be arranged in succession below a cover of a backrest or a seat body of the vehicle seat, supply and venting lines to and from the massage cells. A compressed air pump is connected to the supply inventing lines. A valve arrangement is provided for the selective supply of massage cells with compressed air and for the selective venting of massage cells. A control unit is provided for controlling the compressed air pump and the valve arrangement, said control unit being arranged for carrying out massage functions by controlling the compressed air pump and the valve arrangement according to a predetermined sequence set individually by the user for the selective inflation and venting of massage cells in the linear series.",8421161000103
Wonderland Switzerland AG,2018-03-16,CHILD SAFETY SEAT,B60N-002/26 | B60N-002/28,"A child safety seat includes a support base having a stop, a sliding carriage, a rotary platform having a follower part, and a child seat. The sliding carriage is slidable relative to the support basebetween a retracted and an extended position, and the child seat and the rotary platform are rotatable together relative to the sliding carriage and the support base between a forward and a rearwardfacing position. While the sliding carriage is in a position other than the retracted position, a rotational movement of the child seat and the rotary platform is limited by a contact between the follower part and the stop that keeps the child seat and the rotary platform apart from the forward facing position, and the stop is located outside a travel path of the follower part when the sliding carriage is in the retracted position for rotation of the rotary platform to the forward facing position.",8421161001600
BENGBU College,2018-06-12,Vehicle and ship seat with flexible buffer mechanisms,B60N-002/07 | B60N-002/50 | B63B-029/04,"The invention discloses a vehicle and ship seat with flexible buffer mechanisms. The seat at least comprises a seat body and seat sliding mechanisms. The seat body is fixed to a cab bottom board through the seat sliding mechanisms. Each seat sliding mechanism at least comprises a sliding assembly. Each sliding assembly comprises a sliding rail and a sliding frame. The sliding rails are fixedly connected to the cab bottom board. The sliding frames are matched with the sliding rails. The multiple flexible buffer mechanisms are installed on the sliding frames and connected with the seat body. Theflexible buffer mechanisms are additionally arranged between the seat body and the seat sliding mechanisms. Due to the arrangement of the flexible buffer mechanisms, the influence caused by vehicle and ship vibration on a driver is more effectively reduced, the shock absorption performance of the seat is improved, and the driver feels more comfortable.",8421161001789
"JIANGXI CHANGHE AUTO Co.,Ltd.",2020-12-30,Automobile seat adjusting structure and control method thereof,B60N-002/02 | B60N-002/427 | B60R-021/0136,"The invention discloses an automobile seat adjusting structure which comprises an installation base, a seat and a backrest, the installation base is fixedly installed on an automobile floor, the two sides of the upper end of the installation base are each fixedly provided with a seat sliding rail, and the two ends of the bottom of the seat are each fixedly provided with a sliding block matched with the corresponding seat sliding rail; the seat is installed on the installation base through matching of the sliding blocks and the sliding rails, a first motor is fixedly installed in the middle of the seat, the backrest is movably connected to the seat through a rotating shaft, a first motor is fixedly installed on the backrest, and the first motor and the second motor are connected with an automobile controller through circuits. The automobile controller is connected with a radar ranging device and can drive the first motor and the second motor through signals fed back by the radar ranging device. The first motor and the second motor can be driven by signals received by the radar ranging device, so that the seat state is adjusted to guarantee the safety of a driver.",8421161012429
Toyota Jidosha Kabushiki Kaisha,2020-08-31,CHILD SEAT TEMPORARY HOLDING STRUCTURE IN PASSENGER MOTOR VEHICLE,B60N-002/28 | B60N-002/005,"A child seat temporary holding structure in a passenger motor vehicle having a connection member to which a connector provided on an ISOFIX type child seat is to be detachably connected, the connection member protruding from a top wall located on the upper side of the vehicle body relative to a seat in the cabin of the passenger motor vehicle.",5421015001358
"Ford Global Technologies, LLC",2019-10-07,SEATBACK CARRIER WITH DEPLOYMENT HINGE POINTS,B60N-002/68 | B60R-021/207,"A seatback assembly includes a front carrier module having a mounting portion with an inverted U-shaped outer perimeter edge. A plurality of doors includes individual doors that are hingedly coupled to the outer perimeter edge of the front carrier module. Each door of the plurality of doors is operable between open and closed positions. An airbag carrier module includes an inverted U-shaped raceway with an open front portion. The airbag carrier module is operably coupled to the front carrier module, such that the doors of the front carrier module selectively open and close the open front portion of the raceway of the airbag carrier module.",5421015001362
"Kioma, LLC",2019-02-28,Child safety seat,B60N-002/26 | B60N-002/28,"A car seat includes a chassis formed as an interrupted shell defining a protected interior with a top opening, and a handle fixed to the chassis at a single point and covering a sufficient portion of a length of the top opening such that the handle functions as a carry handle and a roll bar against impacts or intrusions into the protected interior.",4921015002115
"Ford Global Technologies, LLC",2019-02-06,Retention device for vehicle seat,B60N-002/36 | B60N-002/30,"A seating assembly is attached to the floor and includes a seat that is rotationally operable relative to a seatback. A retention device is attached to the seat. When the seat is pivoted upright to a stadium position, the retention device is selectively deployable from a stored position to a cargo storage position that defines an enclosure at least partially defined by the seat and the floor.",4921015002117
Volvo Car Corporation,2019-01-23,Vehicle seat cushion carrier assembly for modular vehicle seat or the like,B60N-002/72 | A47C-031/02,"A vehicle seat cushion carrier assembly (bottom and back) via which a cushion carrier structure, cushion foam, and upholstery are more easily assembled and installed in a vehicle, optionally as a modular unit. The cushion carrier structure can be multi-piece and incorporate any desired trim units. Strap fasteners are used to secure the upholstery to the cushion carrier structure and cushion foam, creating the desired creating seams, creases, and indentations. Clip fasteners are used to secure the upholstery to the cushion carrier structure around the cushion foam, especially with respect to the seat back. This allows much of the upholstering to be done outside the vehicle, optionally in a modular manner. Finally, these modular features and functionalities allow the cushion carrier assemblies (bottom and back) to be quickly and easily secured to the underlying seat pan and/or seat frame using simple screws, hooks, and clip fasteners.",4921015002125
Wirtgen GmbH,2019-01-09,Earth working machine having an insertable operating seat,E01C-023/088 | E01C-023/12 | E02F-009/16 | B60N-002/01 | B60N-002/24 | B60N-002/30 | B60N-002/015 | E21C-025/10 | E21C-035/00,"An earth working machine (10), for example a road milling machine (10), recycler, stabilizer, or surface miner, having a propelling unit (22) and a machine frame (12) carried by the propelling unit (22), comprises a working apparatus (32) for earth working; an operator's platform (24), having an operating console (26) for controlling at least one functional device (32, 39) of the earth working machine (10), being provided on the machine frame (12). Provision is made according to the present invention that the earth working machine (10) comprises, in the region of the operator's platform (24), a seat mount arrangement (66) that is embodied to be brought into releasable mounting engagement with a counterpart mount arrangement (76) of an operating seat (62, 64).",4921015002924
