출원인,출원일,발명의 명칭,Original IPC All,요약,WIPS ON key
현대자동차주식회사 | 기아 주식회사,2020-07-22,VEHICLE SEAT ASSEMBLY,B60N-002/12 | B60N-002/01 | B60N-002/015 | B60N-002/06 | B60N-002/68 | B60N-003/00," The support stand which is the seat assembly of the mobile vehicles and, the Seat frame, and the sheet are introduced the seat assembly of the vehicles included. As to the support stand which is the seat assembly of the mobile vehicles and, the bottom is connected to the floor of the vehicles. As to the Seat frame, the connection part prepared in the upward of the support stand is equipped and the connection part is formed with the curve or the curved surface and the whole slope of the connection part is changed in the sliding by the curvature of the connection part. As to the sheet, the slope is changed in the sliding of the Seat frame with the Seat frame and the reclining is implemented. ",3522404000496
현대자동차주식회사 | 기아 주식회사 | 주식회사 디에스시동탄,2021-03-15,DEVICE FOR POWER SUPPLY AND SIGNAL TRANSMISSION OF VEHICLE SEAT RAIL,B60N-002/02 | B60N-002/07, The present invention is to provide the electric power supply and signal transmitting device of the seat rail for vehicle which directly mounts the contact signal transmitting device delivering the driving control signal of sheet and the contact power supply device supplying power etc to the electrical equipment mounted on sheet to the seat rail and can exclude the existing wiring and connector etc. and solves the problem due to the wiring exposure. ,3522393000215
현대자동차주식회사 | 기아 주식회사,2021-03-12,"VEHICLE SEAT CUSHION AIRBAG, ITS CONTROL SYSTEM AND CONTROL METHOD",B60R-021/207 | B60N-002/427 | B60R-021/23 | B60R-021/231 | B60R-021/2338 | B60R-021/26 | B60R-021/264," The seat cushion for vehicle airbag according to the present invention is installed at the front part center or the around of the seat cushion of vehicle. It is extended to the either side in the central part and the central part located in development between the leg of the passenger and the air bag cushion formed with the extension part located in the leg upward of the passenger, and the inflator are introduced the seat cushion for vehicle airbag included. The inflator is connected to the air bag cushion and provides the tension to the air bag cushion. ",3522391001074
도요타지도샤가부시키가이샤,2020-02-10,VEHICLE SEAT,B60N-002/54 | B60N-002/50 | B60N-002/68," As to the seat for a car (10), it mobiles it hangs the seat cushion (14) right and left from the seat cushion supporting frame (18) and the rear suspension member (54, 64, 104, 116) support as to 2 place which from side to side is separated of the end edge part of the seat back of the seat cushion (14). As to 1 place of front than the rear suspension member (54, 64, 104, 116) or 2 place which from side to side is separated, it mobiles it hangs the seat cushion (14) right and left from the seat cushion supporting frame (18) and it supports. ",3522394000366
현대트랜시스 주식회사,2021-04-16,LOCKING DEVICE FOR WALK-IN SEAT OF VEHICLE,B60N-002/12 | B60N-002/20 | B60N-002/22 | B60N-002/235," The invention provides the presser cam for the locking of the walk-in sheet or the loss of locking, the first teeth of the drive plate, having the moving first teeth with the presser cam and drive plate, and the locking device of the car walk-in sheet which uses the internally toothed locking module in which the fixing plate etc having the second value engaging is built in and the deformation according to the torsional load is generated in the link frame of the sheet in which the seat belt buckle is connected and yet it securely maintains the locking state of the locking device of the walk-in sheet and in that way easily prevents the loss of locking of the locking device of the walk-in sheet which does not expect. ",3522394000722
현대트랜시스 주식회사,2021-04-16,LOCKING DEVICE FOR WALK-IN SEAT OF VEHICLE,B60N-002/12 | B60N-002/20 | B60N-002/22 | B60N-002/235," The present invention relates to the locking device of the car walk-in sheet which securely maintains the walk-in operation former locking state of the walk-in sheet, and it has the purpose to provide the locking device of the car walk-in sheet which securely maintains the locking state (in other words, the locking state of the drive plate for the walk-in operation of sheet) of the walk-in sheet although the binding of the pawl about the drive plate is canceled due to the etc. in which the deformation according to the torsional load is generated in the link frame of sheet by more including the separate configuration for preventing in the buckle for the seat belt in the load generation that the drive plate rotates at the unlocking direction. ",3522394000723
주식회사다스,2020-11-20,Foreign matter blocking device of vehicle seat rail and assembling method thereof,B60N-002/07," The present invention relates to the cut-off of alien substance and method for assembling the same of the vehicle seat rail, and the side part which is inserted into the guide groove in the leading edge member both ends of the moving blade is formed. The outlet hole is formed in the housing of the moving blade module. The foreign material in which the side part is flowed in into the guide groove inside is pushed and it ejects through the outlet hole. The degradation of the operation sensibility and the operation performance which is generated since the foreign material is flowed in into the seat rail can be prevented. ",3522402000823
주식회사 디에스시동탄,2020-11-09,SEAT TRACK RAIL AND SEAT FRAME ASSEBLY INCLUDING THE SAME,B60N-002/07," In this specification. And disclosed is the offer of the sheet track rail preventing right and left tension with the down space security of sheet and the Seat frame assembly including the same. The disclosed content in this specification, according to a preferred embodiment of the present invention, the sheet track rail comprises the either side one part is the either side it is combined in the lower rail combined in the vehicles, and the lower part of sheet, the upper rail formed with the member is extended to top and it is mobile in the sliding is inserted inside the lower rail, and bearing parts placing the 부재 in the interval in the inside of the lower rail and are arranged in upper and lower part of upper and lower part 부재 on the different vertical line. ",3522392000863
(주)엘엑스하우시스,2019-04-16,Seatback and Car comprising the same,B60N-002/68 | B60N-002/02 | B60N-002/22 | B60N-002/58," Provided are the seat back which includes the second side and which is the first side, the first side and opposite direction as the invention relating to this application, is the seat back and the vehicle including the same according to one side of this application including the frame body: reclining motor: folding the frame body in the first side or the second side and the strap cover which is prepared in order to cover the strap hole so that the strap hole be exposed by the outside. Including the strap hole which is the first and 2 page formed penetrating in at least partial domain. ",3522392000466
(주)풍진솔루션 | 주식회사 에이앤티시스템,2020-12-08,Vehicle Seatback Manufacturing System,B60N-002/68 | B23P-019/04 | B60N-002/58 | B60N-002/70 | B65G-047/91," The present invention relates to the vehicle backseat manufacturing system which successively automatically can progress the transfer of the seat cover and seat back frame and assembling process. The vehicle backseat manufacturing system according to the present invention for solving the subject described in the above comprises the second assembly step vacuum-absorbing the seat cover and seat back frame safe arrival step : first transfer preparation step: seat cover first projecting step : second transfer preparation step: seat back frame first projecting step : first assembly step: seat back assembly in the second settling portion and it positions and after it transports another seat cover settled in the carriage through the transporting robot and it settles in the first settling portion if the seat back assembly is loaded through the seat cover second projecting step: seat cover second projecting step vacuum-absorbing the seat back assembly located in the second settling portion through the transporting robot and transporting to the load stock and loaded in the load stock it moves to the carriage and vacuum-absorbs the seat back frame and it moves to the inner side of the pressing tool and the first of the pressing tool and the seat back frame second projecting step: which settles in the second settling portion, and 2 settling portion adhere closely and it mutually assembles the seat cover and seat back frame and makes the seat back assembly. ",3522392000915
주식회사다스,2020-11-20,LEG REST OF SEAT FOR VEHICLE,B60N-002/90 | A47C-007/50 | B60N-002/62," The invention comprises the multiple blocks as the poultry ring, of the seat for a car. And the block assembly capable of development and reconstitution are installed at the front end of the cushion frame. The operation is possible through one motor and weight decreases. And the leg-room security of the seat cushion lower part is possible. ",3522374000607
주식회사다스,2016-06-29,TILTING DEVICE FOR SEAT CUSHION OF VEHICLE,B60N-002/10 | B60N-002/16," The present invention relates to the seat cushion of vehicle tilting device, and while circling round in the cushion frame of sheet with the hinge section it mobiles the combined cushion panel, the link shaft fixed to and combined with the cushion panel, the rotation supporting member, the pivotal link member swiveling the link shaft, and the lead screw operating the pivotal link member and the drive motor making the lead screw with straight reciprocating movement are included to backward and forward of sheet. By implementing the tilting operation of the cushion panel without the existing clamp part the number of component is decreased and the manufacturing cost is cut down. The rotation supporting member is able to rotate is link-coupled the link shaft in the cushion frame. ",3522374000082
주식회사 서연이화,2020-10-28,SEAT DEVICE FOR VEHICLE,B60N-002/10 | B60N-002/00 | B60N-002/02 | B60N-002/16," The vehicular seat apparatus according to the working example of the present invention is equipped with the control unit comprised the angle control unit, and the angle control unit is controlled and the rear controls the seat cushion by the article storage posture comprised the seat cushion, and the angle of the seat cushion is controlled between the seat track and seat cushion while being equipped equipped with the seat track mounted on the floor panel placed in the indoor of the vehicles, and the front portion. The front portion turns toward the front of the vehicles it is supported through the seat track in the floor panel and the rear facing the rear of vehicle. The angle control unit is controlled and the rear controls the seat cushion by the article storage posture is in the low location than the front portion as the predetermined height. ",3522374000574
현대모비스 주식회사,2021-02-25,SEAT SAFETY APPARATUS FOR VEHICLE,B60N-002/427 | B60N-002/42," In the present invention, by being tilted the sheet in which the passenger is seated in the vehicle collision to the opposite direction of the collision direction the impact is not directly delivered to the passenger. It is evaded from the particle generated with when crash and it introduces the car safety device for seat in which the crash safety of the passenger is secured. ",3522363000755
현대자동차주식회사 | 기아 주식회사,2017-11-01,Arrangement Transform type Seat Apparatus and Vehicle therefor,B60N-002/005 | B60N-002/015 | B60N-002/06 | B60N-002/14," In the state where as to the vehicles (1) of the present invention, 4 first ,2,3,4 sheetses (20-1,20-2,20-3,20-4) is mounted to front and rear side seat row, by including the individual sheet rotation about each of front and rear side seat row and the sheet mobile tool (30) in which the sheet movement is made with the whole sheet rotation of front and rear side seat row in the floor (floor) (2) of the vehicle interior inner space (9) the collision space and the convenience room which is broad than the vehicle interior inner space (9) restricted to the occupation of the sheet (20) are to the utmost secured with the seat arrangement deformation fitted to the number of person boarding and the feature in which the passenger wound prevention and protection are made is implemented. ",3522372000276
현대트랜시스 주식회사,2020-10-30,Apparatus for adjusting seat back angle,B60N-002/30 | B60N-002/20 | B60N-002/22," The apparatus for adjusting seat-back angle according to a preferred embodiment of the present invention is provided. The multi-stage latch structure as to the apparatus for adjusting seat-back angle, which is installed at the car body and in which multiple inserting holes include the multi-stage latch structure which controls the angle of the defined car body bracket and seat in vehicle white it is connected to the car body bracket comprises the pin inserted into one inserting hole among inserting holes, and pin, the link structure of being connected and producing the movement in which pin is inserted into inserting holes and which is ejected, and the link structure, and the connected cable and the lever connected with cable. ",3522362000865
현대트랜시스 주식회사,2021-02-03,DEVICE FOR PREVENTING FOLDING OF SEAT BACK FOR VEHICLE,B60N-002/30 | B60N-002/20 | B60N-002/22 | B60N-002/23 | B60N-002/36 | B60N-002/433, The present invention is to provide the folding blocking device of the seat back for automobile which in case the passenger takes a seat on the seat cushion or the goods etc. are loaded with the folding bracket connected with the operation of the folding lever as to the sheet in which the seat back is folded on the seat cushion it restricts the folding bracket by using the air pressure drive apparatus operating with the load of the passenger or the goods and it blocks the folding operation of the seat back and in that way the passenger by the folding of the seat back is hurt and or easily prevents the goods damage appearance. ,3522333000097
현대모비스 주식회사,2021-02-03,SEAT SYSTEM FOR VEHICLE AND METHOD FOR CONTROLLING SEAT FOR VEHICLE,B60N-002/427 | B60N-002/90 | B60R-021/00 | B60R-021/013 | B60R-021/207," The present invention relates to the seat for a car system and the method for controlling the same for protecting the passenger in the side collision of the vehicles by using the air-mat installed at the seat cushion the massage function is given. The seat for a car system according to one embodiment of the present invention is equipped with the conflict prediction sensing meaning:, which predicts the impact of vehicle generation it is equipped in the vehicles it is the seat cushion in which it has the massage function and the seat for a car system including the seat back the direction in which the collision is air predicted it operates the massage device it predicts the impact of vehicle occurrence possibility and collision type according to the induction or the operation exhausted based on the expansion or the massage device which gives the massage function to the passenger it is contracted and the signal sensed in the conflict prediction sensing meaning it is built in it is classified into left and right in the seat cushion and the controller which alters the posture so that the passenger be inclined to the opposite direction. ",3522333000336
현대트랜시스 주식회사,2020-10-19,SYSTEM AND METHOD FOR CONTROLLING TEMPERATURE OF SEAT,B60N-002/56 | A47C-007/74 | B60H-001/00 | B60N-002/00 | B60R-021/015, The sheet temperature control system and the control method which includes the priority order standard and it determines the priority of the multiple integrated information according to the priority order standard and it reflects the multiple integrated information according to priority and it sets up the target temperature of sheet or the air conditioning system output and it controls the air conditioning system and includes the controller in which the temperature of sheet or the air conditioning system output reaches the target temperature for priority between the multiple integrated information and the sensor unit: air conditioning system: controlling the air output of the vehicle room space or sheet and temperature collects the integrated information including the passenger information about the state of the sheet information about the information of cars about the vehicle environment or the sheet state or the passenger are introduced. ,3522332000817
피셔 다이내믹스 저머니 게엠베하,2019-03-01,"The longitudinal direction control device for the vehicle seat having the seat rail and the locking unit which is able to displace to the floor rail, and the longitudinal direction",B60N-002/07 | B60N-002/08," The longitudinal direction control device for the vehicle seat has the locking unit (28) materially adopted by the floor rail (20), the seat rail (22), and the rail of 2 to the formed collaboration (26) and the bearing shaft (32) which is extended to the displacement direction (24) it is arranged in the housing (30), and the housing (30), and at least 2 even blocking parts (36) and the cancellation parts (38) which is arranged around the bearing shaft in order to the independently can pivot as each other and is independently elastically deflected by one blocking spring (34). The same blocking part (36) structurally has the first arm (40) and the second arm (42) in which the bearing shaft (32) is located in the interval. The seat rail (22) has one first front-end slot (48) accommodating the first arm (40) about each blocking part (36) and one second shear slot (50) accommodating the second arm (42). The floor rail (20) has the first arm (40) and the first hole strip (52) cooperating with the second blocking slot periodically arranged as forward and backward to the displacement direction (24) and the second hole strip (54) cooperating to the second arm (42) and displacement direction (24) with the second blocking slot (58) periodically arranged as forward and backward. ",3522322001197
엘에스엠트론 주식회사,2018-07-09,SUPPORTING UNIT FOR SEAT AND AGRICULTURAL WORKING VEHICLE HAVING SAME,B60N-002/16 | A01B-051/00 | B60N-002/08 | B60N-002/18," Disclosed is the support unit for sheet and the work vehicle for agriculture including the same. The rotating member in which sheet is installed is installed at the elevating member. The elevating member is connected to the upper part side of the supporting member. And the pressing part always acts power on the supporting member so that the upper part side of the supporting member be located in the upper side. And then, in order that the operator rotates sheet when the operator gives sheet about the manpower and it increases to the upper side it can increase sheet to the power which is less due to the power acting in the pressing part on the supporting member. Therefore, it has the effect that the task for rotating sheet is convenient. ",3522312000429
